Sample,Type,SeqID,Reads,Coverage,Path
54D0_2,offspring,54D0_2_S1087,148302,398.094,/home/maccamp/kootenai/data/align/54D0_2_S1087.sort.bam
54D0_4,offspring,54D0_4_S1095,212200,570.557,/home/maccamp/kootenai/data/align/54D0_4_S1095.sort.bam
54D0_21,offspring,54D0_21_S1103,175611,469.886,/home/maccamp/kootenai/data/align/54D0_21_S1103.sort.bam
6F60_19,offspring,6F60_19_S1111,170588,460.682,/home/maccamp/kootenai/data/align/6F60_19_S1111.sort.bam
6F60_1,offspring,6F60_1_S1119,149062,404.847,/home/maccamp/kootenai/data/align/6F60_1_S1119.sort.bam
6F60_15,offspring,6F60_15_S1035,182783,543.429,/home/maccamp/kootenai/data/align/6F60_15_S1035.sort.bam
6F60_8,offspring,6F60_8_S1043,389846,1099.57,/home/maccamp/kootenai/data/align/6F60_8_S1043.sort.bam
6F60_21,offspring,6F60_21_S1049,132550,411.324,/home/maccamp/kootenai/data/align/6F60_21_S1049.sort.bam
54D0_22,offspring,54D0_22_S1403,234862,626.806,/home/maccamp/kootenai/data/align/54D0_22_S1403.sort.bam
54D0_8,offspring,54D0_8_S1411,189534,500.431,/home/maccamp/kootenai/data/align/54D0_8_S1411.sort.bam
54D0_12,offspring,54D0_12_S1419,226306,602.106,/home/maccamp/kootenai/data/align/54D0_12_S1419.sort.bam
54D0_19,offspring,54D0_19_S1427,222426,587.871,/home/maccamp/kootenai/data/align/54D0_19_S1427.sort.bam
54D0_1,offspring,54D0_1_S1435,225359,599.35,/home/maccamp/kootenai/data/align/54D0_1_S1435.sort.bam
6BF7_15,offspring,6BF7_15_S1443,230350,610.905,/home/maccamp/kootenai/data/align/6BF7_15_S1443.sort.bam
6BF7_3,offspring,6BF7_3_S1451,269399,713.054,/home/maccamp/kootenai/data/align/6BF7_3_S1451.sort.bam
6BF7_6,offspring,6BF7_6_S1459,242557,645.366,/home/maccamp/kootenai/data/align/6BF7_6_S1459.sort.bam
6BF7_18,offspring,6BF7_18_S1467,220341,586.381,/home/maccamp/kootenai/data/align/6BF7_18_S1467.sort.bam
6BF7_13,offspring,6BF7_13_S1475,187009,504.2,/home/maccamp/kootenai/data/align/6BF7_13_S1475.sort.bam
D128_6,offspring,D128_6_S1483,198077,528.498,/home/maccamp/kootenai/data/align/D128_6_S1483.sort.bam
D128_16,offspring,D128_16_S1491,328999,876.393,/home/maccamp/kootenai/data/align/D128_16_S1491.sort.bam
D128_9,offspring,D128_9_S1404,188609,500.344,/home/maccamp/kootenai/data/align/D128_9_S1404.sort.bam
